edge1,edge2,anisotropy,dx,diffcoef,ltransition,htransition
1.0, 47.0, 1.00000, 0.50000, 1.0, 0.0, 0.0
1.0, 88.0, 0.25000, 0.50000, 1.0, 0.0, 0.0
1.0, 89.0, 0.25000, 0.50000, 1.0, 0.0, 0.0
1.0, 2089.0, 0.62500, 0.51764, 1.0, 0.0, 0.0
1.0, 2136.0, 0.25000, 0.49258, 1.0, 0.0, 0.0
1.0, 3999.0, 0.58402, 0.49258, 1.0, 0.0, 0.0
2.0, 87.0, 1.00000, 0.50000, 1.0, 0.0, 0.0
2.0, 88.0, 0.25000, 0.50000, 1.0, 0.0, 0.0
2.0, 246.0, 0.25000, 0.50000, 1.0, 0.0, 0.0
2.0, 2139.0, 0.25000, 0.40934, 1.0, 0.0, 0.0
2.0, 3902.0, 0.62500, 0.51764, 1.0, 0.0, 0.0
2.0, 4001.0, 0.62619, 0.40934, 1.0, 0.0, 0.0
3.0, 9.0, 1.00000, 0.50000, 1.0, 0.0, 0.0
3.0, 48.0, 0.25000, 0.50000, 1.0, 0.0, 0.0
3.0, 247.0, 0.25000, 0.50000, 1.0, 0.0, 0.0
3.0, 2088.0, 0.62500, 0.51764, 1.0, 0.0, 0.0
3.0, 3957.0, 0.25000, 0.49258, 1.0, 0.0, 0.0
3.0, 4000.0, 0.62619, 0.40934, 1.0, 0.0, 0.0
4.0, 166.0, 1.00000, 0.50000, 1.0, 0.0, 0.0
4.0, 167.0, 0.25000, 0.50000, 1.0, 0.0, 0.0
4.0, 285.0, 0.25000, 0.50000, 1.0, 0.0, 0.0
4.0, 2091.0, 0.62500, 0.51764, 1.0, 0.0, 0.0
4.0, 3959.0, 0.25000, 0.40934, 1.0, 0.0, 0.0
4.0, 4042.0, 0.62619, 0.40934, 1.0, 0.0, 0.0
5.0, 127.0, 0.25000, 0.50000, 1.0, 0.0, 0.0
5.0, 128.0, 1.00000, 0.50000, 1.0, 0.0, 0.0
5.0, 207.0, 0.25000, 0.50000, 1.0, 0.0, 0.0
