vertices,celtype,loc_x,loc_y,loc_z,state,tcounter
1.0, 1.0, 52.6, 230.8, 94.8, 5.0, 1.0
2.0, 1.0, 62.9, 237.0, 89.0, 5.0, 1.0
3.0, 1.0, 58.6, 238.2, 84.8, 5.0, 1.0
4.0, 1.0, 29.0, 211.6, 51.6, 5.0, 1.0
5.0, 1.0, 30.4, 214.9, 47.9, 5.0, 1.0
6.0, 1.0, 29.0, 210.8, 47.2, 5.0, 1.0
7.0, 1.0, 84.6, 250.6, 61.7, 5.0, 1.0
8.0, 1.0, 81.6, 256.0, 51.0, 5.0, 1.0
9.0, 1.0, 76.4, 253.0, 55.2, 5.0, 1.0
10.0, 1.0, 63.0, 228.0, 2.1, 5.0, 1.0
11.0, 1.0, 65.0, 227.9, 3.9, 5.0, 1.0
12.0, 1.0, 63.5, 228.5, 4.4, 5.0, 1.0
13.0, 1.0, 33.2, 218.9, 59.0, 5.0, 1.0
14.0, 1.0, 34.5, 220.2, 64.2, 5.0, 1.0
15.0, 1.0, 35.8, 222.5, 59.8, 5.0, 1.0
16.0, 1.0, 52.7, 235.3, 86.6, 5.0, 1.0
17.0, 1.0, 48.2, 232.2, 88.9, 5.0, 1.0
18.0, 1.0, 49.5, 216.7, 14.6, 5.0, 1.0
19.0, 1.0, 54.0, 211.5, 17.2, 5.0, 1.0
20.0, 1.0, 48.0, 212.8, 17.5, 5.0, 1.0
21.0, 1.0, 73.0, 265.3, 47.0, 5.0, 1.0
22.0, 1.0, 71.8, 267.9, 41.7, 5.0, 1.0
23.0, 1.0, 77.3, 267.9, 42.7, 5.0, 1.0
24.0, 1.0, 50.6, 256.9, 24.7, 5.0, 1.0
25.0, 1.0, 44.0, 250.3, 30.0, 5.0, 1.0
26.0, 1.0, 46.9, 253.2, 22.5, 5.0, 1.0
27.0, 1.0, 30.0, 213.7, 64.4, 5.0, 1.0
28.0, 1.0, 52.7, 240.4, 4.7, 5.0, 1.0
29.0, 1.0, 56.1, 236.6, 1.8, 5.0, 1.0
30.0, 1.0, 54.7, 234.5, 5.0, 5.0, 1.0
31.0, 1.0, 79.4, 243.9, 78.1, 5.0, 1.0
32.0, 1.0, 84.6, 244.5, 74.6, 5.0, 1.0
33.0, 1.0, 80.4, 245.2, 74.8, 5.0, 1.0
34.0, 1.0, 41.0, 226.1, 18.9, 5.0, 1.0
35.0, 1.0, 45.1, 229.7, 14.2, 5.0, 1.0
36.0, 1.0, 45.0, 224.1, 14.4, 5.0, 1.0
37.0, 1.0, 86.6, 249.1, 64.0, 5.0, 1.0
38.0, 1.0, 85.2, 248.5, 65.8, 5.0, 1.0
39.0, 1.0, 78.3, 266.9, 39.5, 5.0, 1.0
40.0, 1.0, 37.3, 224.9, 64.0, 5.0, 1.0
41.0, 1.0, 35.9, 222.6, 69.2, 5.0, 1.0
42.0, 1.0, 39.1, 227.7, 68.7, 5.0, 1.0
43.0, 1.0, 67.7, 244.6, 76.9, 5.0, 1.0
44.0, 1.0, 62.3, 244.0, 75.2, 5.0, 1.0
45.0, 1.0, 66.5, 242.2, 81.3, 5.0, 1.0
46.0, 1.0, 50.2, 230.7, 9.3, 5.0, 1.0
47.0, 1.0, 49.3, 226.0, 11.4, 5.0, 1.0
48.0, 1.0, 41.6, 231.4, 18.8, 5.0, 1.0
49.0, 1.0, 61.6, 224.0, 7.9, 5.0, 1.0
50.0, 1.0, 57.5, 224.7, 8.3, 5.0, 1.0
51.0, 1.0, 59.9, 226.0, 6.9, 5.0, 1.0
52.0, 1.0, 60.2, 227.3, 5.9, 5.0, 1.0
53.0, 1.0, 62.0, 227.1, 5.8, 5.0, 1.0
54.0, 1.0, 78.5, 250.5, 62.2, 5.0, 1.0
55.0, 1.0, 78.4, 248.9, 67.2, 5.0, 1.0
56.0, 1.0, 47.2, 234.7, 11.2, 5.0, 1.0
57.0, 1.0, 62.7, 266.9, 29.6, 5.0, 1.0
58.0, 1.0, 64.1, 266.5, 35.3, 5.0, 1.0
59.0, 1.0, 58.6, 262.2, 34.9, 5.0, 1.0
60.0, 1.0, 53.5, 227.0, 8.7, 5.0, 1.0
61.0, 1.0, 56.4, 227.7, 7.0, 5.0, 1.0
62.0, 1.0, 55.9, 261.2, 14.2, 5.0, 1.0
63.0, 1.0, 51.6, 258.0, 17.7, 5.0, 1.0
64.0, 1.0, 52.0, 258.0, 13.4, 5.0, 1.0
65.0, 1.0, 34.7, 221.3, 75.3, 5.0, 1.0
66.0, 1.0, 37.6, 225.5, 72.9, 5.0, 1.0
67.0, 1.0, 50.0, 255.4, 32.6, 5.0, 1.0
68.0, 1.0, 51.3, 235.1, 7.6, 5.0, 1.0
69.0, 1.0, 61.9, 229.6, 3.7, 5.0, 1.0
70.0, 1.0, 61.1, 229.1, 2.1, 5.0, 1.0
71.0, 1.0, 61.1, 261.7, 15.6, 5.0, 1.0
72.0, 1.0, 56.0, 256.4, 15.0, 5.0, 1.0
73.0, 1.0, 59.6, 258.4, 19.2, 5.0, 1.0
74.0, 1.0, 40.7, 230.3, 74.1, 5.0, 1.0
75.0, 1.0, 42.4, 232.1, 68.1, 5.0, 1.0
76.0, 1.0, 53.2, 257.2, 38.4, 5.0, 1.0
77.0, 1.0, 45.0, 250.3, 41.0, 5.0, 1.0
78.0, 1.0, 52.0, 240.1, 1.0, 5.0, 1.0
79.0, 1.0, 30.9, 216.0, 81.2, 5.0, 1.0
80.0, 1.0, 31.4, 217.0, 89.5, 5.0, 1.0
81.0, 1.0, 34.3, 221.8, 83.4, 5.0, 1.0
82.0, 1.0, 43.2, 234.1, 48.1, 5.0, 1.0
83.0, 1.0, 44.7, 237.1, 43.3, 5.0, 1.0
84.0, 1.0, 40.3, 232.0, 44.2, 5.0, 1.0
85.0, 1.0, 44.8, 219.0, 108.0, 5.0, 1.0
86.0, 1.0, 48.0, 225.9, 99.4, 5.0, 1.0
87.0, 1.0, 41.0, 222.3, 99.4, 5.0, 1.0
88.0, 1.0, 60.3, 247.7, 56.5, 5.0, 1.0
89.0, 1.0, 63.5, 248.0, 60.3, 5.0, 1.0
90.0, 1.0, 64.4, 249.6, 55.2, 5.0, 1.0
91.0, 1.0, 74.4, 269.0, 37.1, 5.0, 1.0
92.0, 1.0, 56.3, 247.2, 47.6, 5.0, 1.0
93.0, 1.0, 60.8, 250.4, 46.0, 5.0, 1.0
94.0, 1.0, 56.8, 249.0, 41.2, 5.0, 1.0
95.0, 1.0, 48.2, 242.8, 2.4, 5.0, 1.0
96.0, 1.0, 46.1, 236.9, 2.6, 5.0, 1.0
97.0, 1.0, 41.3, 230.9, 58.2, 5.0, 1.0
98.0, 1.0, 38.6, 226.6, 59.0, 5.0, 1.0
99.0, 1.0, 40.5, 229.2, 63.4, 5.0, 1.0
100.0, 1.0, 54.3, 230.7, 6.7, 5.0, 1.0
101.0, 1.0, 69.5, 251.6, 54.4, 5.0, 1.0
102.0, 1.0, 68.1, 249.9, 59.0, 5.0, 1.0
103.0, 1.0, 73.1, 251.0, 59.8, 5.0, 1.0
104.0, 1.0, 60.7, 241.0, 80.8, 5.0, 1.0
105.0, 1.0, 35.7, 222.2, 91.6, 5.0, 1.0
106.0, 1.0, 43.5, 218.3, 16.2, 5.0, 1.0
107.0, 1.0, 43.0, 210.4, 20.6, 5.0, 1.0
108.0, 1.0, 38.4, 214.7, 21.8, 5.0, 1.0
109.0, 1.0, 72.1, 244.4, 78.5, 5.0, 1.0
110.0, 1.0, 69.8, 254.0, 48.6, 5.0, 1.0
111.0, 1.0, 75.4, 256.1, 48.0, 5.0, 1.0
112.0, 1.0, 45.5, 235.2, 72.4, 5.0, 1.0
113.0, 1.0, 61.0, 227.0, 2.0, 5.0, 1.0
114.0, 1.0, 52.1, 235.2, 1.0, 5.0, 1.0
115.0, 1.0, 49.5, 208.2, 20.3, 5.0, 1.0
116.0, 1.0, 44.8, 203.4, 24.1, 5.0, 1.0
117.0, 1.0, 41.6, 234.4, 40.0, 5.0, 1.0
118.0, 1.0, 54.4, 260.7, 19.9, 5.0, 1.0
119.0, 1.0, 54.4, 238.7, 80.1, 5.0, 1.0
120.0, 1.0, 58.2, 241.8, 76.5, 5.0, 1.0
121.0, 1.0, 55.4, 244.5, 58.6, 5.0, 1.0
122.0, 1.0, 59.0, 245.9, 62.3, 5.0, 1.0
123.0, 1.0, 40.7, 235.2, 34.8, 5.0, 1.0
124.0, 1.0, 37.8, 230.5, 39.0, 5.0, 1.0
125.0, 1.0, 57.8, 262.9, 28.8, 5.0, 1.0
126.0, 1.0, 38.9, 230.6, 23.6, 5.0, 1.0
127.0, 1.0, 37.0, 228.8, 29.2, 5.0, 1.0
128.0, 1.0, 39.7, 234.7, 28.6, 5.0, 1.0
129.0, 1.0, 51.6, 249.6, 5.4, 5.0, 1.0
130.0, 1.0, 50.8, 249.5, 9.8, 5.0, 1.0
131.0, 1.0, 52.4, 253.6, 7.2, 5.0, 1.0
132.0, 1.0, 48.8, 240.2, 9.2, 5.0, 1.0
133.0, 1.0, 37.1, 225.7, 78.4, 5.0, 1.0
134.0, 1.0, 38.1, 226.1, 86.5, 5.0, 1.0
135.0, 1.0, 33.6, 204.4, 31.2, 5.0, 1.0
136.0, 1.0, 32.5, 210.6, 31.7, 5.0, 1.0
137.0, 1.0, 37.6, 207.3, 25.4, 5.0, 1.0
138.0, 1.0, 60.0, 252.6, 37.2, 5.0, 1.0
139.0, 1.0, 55.7, 249.5, 34.7, 5.0, 1.0
140.0, 1.0, 42.3, 245.4, 11.0, 5.0, 1.0
141.0, 1.0, 42.0, 243.3, 9.3, 5.0, 1.0
142.0, 1.0, 44.4, 246.8, 7.7, 5.0, 1.0
143.0, 1.0, 58.4, 260.1, 42.0, 5.0, 1.0
144.0, 1.0, 44.7, 248.9, 10.3, 5.0, 1.0
145.0, 1.0, 37.7, 231.4, 33.4, 5.0, 1.0
146.0, 1.0, 61.3, 252.1, 41.7, 5.0, 1.0
147.0, 1.0, 59.0, 222.1, 9.5, 5.0, 1.0
148.0, 1.0, 54.4, 223.2, 10.0, 5.0, 1.0
149.0, 1.0, 51.4, 246.4, 32.0, 5.0, 1.0
150.0, 1.0, 47.8, 242.5, 34.8, 5.0, 1.0
